ts,tick_current,price_normalised,total_equity,active_lower_tick,active_upper_tick,liquidity,amount0_mm,amount1_mm,token0_fee_accul,token1_fee_accul,peak_equity
1767577055,1574,117053505,961539942716,1550,1600,355736360849393,415844878862,474778936646,13650401,16128308,961650113539
1767577055,1574,117053660,961540587108,1550,1600,355736360849393,415626244308,475034856225,13650401,16146223,961650113539
1767577063,1574,117053834,961541310087,1550,1600,355736360849393,415382263413,475320445007,13650401,16166216,961650113539
1767577063,1574,117055063,961546404540,1550,1600,355736360849393,413655898804,477341231592,13650401,16307681,961650113539
1767577069,1574,117055574,961548516494,1550,1600,355736360849393,412938612205,478180853710,13650401,16366458,961650113539
1767577071,1574,117055357,961547620084,1550,1600,355736360849393,413243226739,477824285747,13671725,16366458,961650113539
1767577075,1574,117054720,961544984870,1550,1600,355736360849393,414138100019,476776791480,13734370,16366458,961650113539
1767577077,1574,117054288,961543194479,1550,1600,355736360849393,414744139236,476067395275,13776795,16366458,961650113539
1767577205,1574,117054281,961543165448,1550,1600,355736360849393,414754939281,476054753361,13777551,16366458,961650113539
1767577205,1574,117054273,961543132266,1550,1600,355736360849393,414765770113,476042075408,13778309,16366458,961650113539
1767577313,1574,117053210,961538715362,1550,1600,355736360849393,416258518934,474294757052,13882808,16366458,961650113539
1767577391,1574,117052175,961534399554,1550,1600,355736360849393,417712172846,472593215998,13984570,16366458,961650113539
1767577507,1574,117052289,961534875654,1550,1600,355736360849393,417551909680,472780807611,13984570,16379591,961650113539
1767577567,1574,117051440,961531325567,1550,1600,355736360849393,418745583089,471383590625,14051047,16379591,961650113539
1767577567,1574,117052116,961534153077,1550,1600,355736360849393,417795972921,472495126211,14068132,16379591,961650113539
1767577581,1574,117050607,961527832542,1550,1600,355736360849393,419915428411,470014274701,14150026,16379591,961650113539
1767577615,1574,117051109,961529938749,1550,1600,355736360849393,419209738870,470840290366,14150026,16437416,961650113539
1767577623,1574,117051438,961531317191,1550,1600,355736360849393,418747688118,471381126658,14150026,16475277,961650113539
1767577629,1574,117051559,961531823774,1550,1600,355736360849393,418577292925,471580576786,14150026,16489240,961650113539
1767577635,1574,117052915,961537486785,1550,1600,355736360849393,416673826526,473808626795,14150026,16645214,961650113539
1767577639,1574,117052936,961537574283,1550,1600,355736360849393,416643719468,473843867987,14150026,16647681,961650113539
1767577641,1574,117053971,961541879030,1550,1600,355736360849393,415190098903,475545381066,14150026,16766795,961650113539
1767577779,1574,117053149,961538461418,1550,1600,355736360849393,416344501237,474194112032,14230839,16766795,961650113539
1767577857,1574,117050652,961528021490,1550,1600,355736360849393,419851859862,470088682088,14476371,16766795,961650113539
1767577953,1574,117050660,961528055078,1550,1600,355736360849393,419840033809,470102524561,14476371,16767764,961650113539
1767577953,1574,117049859,961524687646,1550,1600,355736360849393,420965371931,468785313362,14555150,16767764,961650113539
1767577985,1574,117049119,961521568649,1550,1600,355736360849393,422004365362,467569176852,14627884,16767764,961650113539
1767577989,1574,117050151,961525916267,1550,1600,355736360849393,420555434324,469265145353,14627884,16886490,961650113539
1767578207,1573,117044812,961503262591,1550,1600,355736360849393,428054965187,460487133332,15152887,16886490,961650113539
1767578215,1573,117044748,961502988606,1550,1600,355736360849393,428144307072,460382563318,15155930,16886490,961650113539
1767578215,1573,117044779,961503121325,1550,1600,355736360849393,428100836314,460433443565,15159141,16886490,961650113539
1767578239,1573,117044757,961503027139,1550,1600,355736360849393,428132046065,460396914184,15159141,16887495,961650113539
1767578291,1573,117042472,961493207641,1550,1600,355736360849393,431341784838,456640119898,15383838,16887495,961650113539
1767578391,1573,117041756,961490115631,1550,1600,355736360849393,432346674534,455463975749,15454185,16887495,961650113539
1767578393,1573,117041041,961487020751,1550,1600,355736360849393,433351564229,454287838788,15524532,16887495,961650113539
1767578395,1573,117040326,961483918692,1550,1600,355736360849393,434356453925,453111709017,15594879,16887495,961650113539
1767578397,1573,117039610,961480805096,1550,1600,355736360849393,435361343620,451935586433,15665226,16887495,961650113539
1767578399,1573,117038588,961476348355,1550,1600,355736360849393,436797836265,450254328376,15765787,16887495,961650113539
1767578401,1573,117037565,961471872560,1550,1600,355736360849393,438234328911,448573085009,15866348,16887495,961650113539
1767578441,1573,117037574,961471912000,1550,1600,355736360849393,438221498529,448588101376,15866348,16888546,961650113539
1767578467,1573,117037663,961472301962,1550,1600,355736360849393,438096588697,448734292869,15866348,16898780,961650113539
1767578533,1573,117036714,961468138091,1550,1600,355736360849393,439430027827,447173673193,15959695,16898780,961650113539
1767578535,1573,117035765,961463961567,1550,1600,355736360849393,440763466957,445613066174,16053042,16898780,961650113539
1767578615,1573,117035972,961464873647,1550,1600,355736360849393,440472071725,445954103116,16053042,16922655,961650113539
1767578615,1573,117036283,961466242839,1550,1600,355736360849393,440035445882,446465113097,16053042,16934576,961650113539
1767578615,1573,117036179,961465785127,1550,1600,355736360849393,440180949267,446294821419,16053042,16958428,961650113539
1767578643,1573,117037318,961470789690,1550,1600,355736360849393,438581166451,448167155223,16053042,17077579,961650113539
1767578659,1573,117040099,961482932340,1550,1600,355736360849393,434675217148,452738627862,16053042,17397605,961650113539
1767578665,1573,117042878,961494957732,1550,1600,355736360849393,430771522654,457307570014,16053042,17717453,961650113539
1767578719,1574,117045658,961506878912,1550,1600,355736360849393,426866382863,461878312310,16053042,18037427,961650113539
1767578743,1573,117044301,961501073394,1550,1600,355736360849393,428772532131,459647260282,16186482,18037427,961650113539
1767578757,1573,117043393,961497174345,1550,1600,355736360849393,430047722631,458154728259,16275751,18037427,961650113539
1767578759,1573,117042485,961493263714,1550,1600,355736360849393,431322913130,456662207813,16365020,18037427,961650113539
1767578761,1573,117041400,961488575581,1550,1600,355736360849393,432847554065,454877738438,16471752,18037427,961650113539
1767578765,1573,117040314,961483866568,1550,1600,355736360849393,434372195001,453093285611,16578484,18037427,961650113539
1767578767,1573,117039351,961479677037,1550,1600,355736360849393,435725635719,451509220851,16673231,18037427,961650113539
1767578769,1573,117034819,961459785655,1550,1600,355736360849393,442092236701,444057936619,17118924,18037427,961650113539
